Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-2366.399	-2438.814	72.41442	1.150411	0.174641	0.468732	0.251579	0.105048	1.759026	1.866963
6	-2365.826	-2437.829	72.00327	2.356701	0.136581	0.366579	0.196752	0.300089	1.818433	1.416718
12	-2363.065	-2433.924	70.85949	2.871296	0.310046	0.336467	0.16392	0.189567	1.529024	2.182146
18	-2357.897	-2430.716	72.81969	0.9140616	0.151292	0.351227	0.473863	0.0236181	1.639291	1.831763
24	-2387.309	-2459.571	72.26237	0.3581189	0.210469	0.260643	0.377575	0.151313	1.735214	2.496168
30	-2360.553	-2433.162	72.60896	1.059452	0.155506	0.253477	0.54998	0.0410367	1.582099	1.914992
36	-2360.457	-2432.825	72.36812	1.504971	0.188747	0.257836	0.526884	0.026533	1.777347	1.66167
42	-2355.98	-2428.296	72.31645	1.985505	0.18999	0.175473	0.604115	0.0304223	1.699155	1.472768
48	-2361.373	-2434.387	73.01366	1.162816	0.0777939	0.420616	0.276491	0.225099	1.699155	1.472768
54	-2358.457	-2430.59	72.13349	1.667929	0.0964599	0.522302	0.21015	0.171089	1.541058	1.894025
60	-2355.143	-2427.708	72.56525	1.184886	0.060216	0.436614	0.389357	0.113813	1.61691	1.838505
66	-2361.066	-2433.321	72.25575	1.753176	0.122797	0.372973	0.295366	0.208865	1.61691	1.708945
72	-2357.503	-2429.185	71.68183	2.60115	0.263624	0.27098	0.214595	0.2508	1.579432	1.708945
78	-2364.945	-2437.615	72.66964	1.27798	0.138924	0.31045	0.427399	0.123227	1.611563	1.708945
84	-2369.773	-2441.16	71.38739	1.837514	0.104036	0.245968	0.553423	0.0965735	1.554902	2.286182
90	-2363.271	-2435.186	71.91464	1.013991	0.0558889	0.440822	0.428513	0.0747764	1.735994	2.29911
96	-2359.167	-2431.126	71.95964	0.8443818	0.0480909	0.464687	0.414833	0.0723892	1.467356	2.548863
102	-2354.656	-2426.724	72.06843	0.6335054	0.0405624	0.391941	0.506439	0.0610569	1.607074	2.532494
108	-2360.446	-2432.626	72.17969	1.502974	0.0344563	0.435312	0.462418	0.0678133	1.529527	1.964314
114	-2359.901	-2432.984	73.08228	1.141007	0.0488002	0.552862	0.285891	0.112447	1.948867	1.236679
120	-2351.864	-2423.612	71.748	1.901004	0.119141	0.43046	0.412419	0.03798	1.604771	1.985843
126	-2353.791	-2427.216	73.42465	1.251032	0.109981	0.296049	0.584818	0.00915249	1.903471	0.8469729
132	-2361.497	-2435.101	73.60355	0.943295	0.107335	0.296521	0.585752	0.0103914	2.075521	0.7798657
138	-2359.314	-2432.543	73.22945	1.410915	0.148575	0.0235254	0.815826	0.0120733	2.075521	0.6653755
144	-2358.408	-2431.615	73.20692	1.306431	0.227937	0.0271203	0.731025	0.0139182	2.091772	0.8199572
